index	max_degree	fail_node_degree	fail_neber_degree	fail_degree_sum	max_load	big_load_num	fail_load_sum	fail_num	first_round_fail	neber_fail_num	fail_round	subgraph_num	fail_node_load	load_change	degree_change	fail_neber_load	LCC
0,1,	91	164	100	341	28966	35	92014	54	49	26	2	39	75724	213666	620	8166	0	
0,2,	92	135	63	200	42441	42	57978	20	20	19	1	31	53594	129871	392	4378	0	
0,3,	94	84	42	128	45773	44	35432	11	11	10	1	13	31329	71185	246	3897	1	
0,4,	92	99	61	162	42752	39	40261	17	17	16	1	22	34832	103170	308	5428	0	
0,5,	89	151	113	287	39144	40	77255	43	43	33	1	30	66227	176117	538	9885	0	
0,6,	93	109	44	155	45110	45	43981	12	12	11	1	16	39865	82915	300	3910	1	
0,7,	92	108	55	163	44635	43	52139	14	14	14	1	16	46186	96548	314	5953	0	
0,8,	89	134	145	291	39559	34	86049	53	50	48	2	25	62725	185484	552	22880	0	
0,9,	92	155	83	246	42365	42	70979	30	30	27	1	30	65156	146660	474	5714	0	
0,10,	91	123	71	199	45376	45	58446	19	19	17	1	15	51625	102182	376	6196	0	
0,11,	94	77	65	144	44589	41	38798	15	15	14	1	19	30358	109579	272	8234	0	
0,12,	92	81	73	156	45749	44	38548	15	15	14	1	13	31011	74799	294	7331	1	
0,13,	93	84	44	130	45484	44	36379	12	12	11	1	13	32263	73875	250	3910	1	
0,14,	93	70	44	116	45236	45	31081	12	12	11	1	13	26965	69251	222	3910	1	
0,15,	93	84	46	132	45318	44	35419	13	13	12	1	14	31104	75139	254	4109	1	
0,16,	94	69	44	115	45524	45	31081	12	12	11	1	13	26965	69390	220	3910	1	
0,17,	94	82	49	135	45233	44	36799	14	14	12	1	16	32277	86696	260	4117	1	
0,18,	93	74	46	122	44605	45	32947	12	12	11	1	15	28212	73745	234	4529	1	
0,19,	93	71	44	117	45252	45	31134	12	12	11	1	13	27018	69295	224	3910	1	
0,20,	94	69	44	115	45340	45	31144	12	12	11	1	13	27028	69547	220	3910	1	
0,21,	94	70	44	116	45535	45	31841	12	12	11	1	13	27725	68990	222	3910	1	
0,22,	95	69	30	101	46120	45	30314	10	10	9	1	12	27148	62844	194	2960	1	
0,23,	94	78	44	124	45742	45	32245	12	12	11	1	13	28129	70611	238	3910	1	
0,24,	93	80	47	129	44298	43	34701	13	13	12	1	15	30194	80724	246	4301	1	
0,25,	94	70	44	116	45550	45	31146	12	12	11	1	13	27030	69253	222	3910	1	
0,26,	93	88	44	132	45000	44	35160	11	11	11	1	16	31250	75690	256	3910	1	
0,27,	94	69	41	112	45772	45	30950	11	11	10	1	12	27016	65677	214	3728	1	
0,28,	93	74	44	120	45284	45	31703	12	12	11	1	13	27587	69885	230	3910	1	
0,29,	92	80	47	129	44983	46	32461	13	13	12	1	13	28323	69778	246	3932	1	
0,30,	93	74	46	122	44929	45	31783	13	13	12	1	14	27413	73450	234	4164	1	
0,31,	93	73	44	119	45376	45	31306	12	12	11	1	13	27190	69242	228	3910	1	
0,32,	93	79	46	127	45341	45	32525	13	13	12	1	13	28402	72531	244	3917	1	
0,33,	94	73	44	119	45587	45	31368	12	12	11	1	13	27252	69796	228	3910	1	
0,34,	94	79	44	125	45661	45	32617	12	12	11	1	14	28474	74064	240	3937	1	
0,35,	94	69	37	108	45878	46	30873	10	10	9	1	12	27354	62419	208	3313	1	
0,36,	93	80	46	128	44441	44	33176	13	13	12	1	15	29057	76424	246	3913	1	
0,37,	92	84	72	165	44255	44	46258	23	22	19	2	15	39610	100555	314	6282	0	
0,38,	94	69	42	113	45854	45	31188	11	11	10	1	12	27117	65515	216	3865	1	
0,39,	94	69	39	110	45985	45	31208	11	11	10	1	12	27257	63770	210	3745	1	
0,40,	93	77	44	123	45167	45	31807	12	12	11	1	14	27691	71806	236	3910	1	
0,41,	93	75	48	125	45054	43	33907	13	13	12	1	14	29405	74723	240	4296	1	
0,42,	92	78	67	147	44660	45	35950	15	15	14	1	13	28807	73177	280	6937	1	
0,43,	92	85	52	139	44263	44	39455	14	14	13	1	16	34078	87215	268	5171	0	
0,44,	94	73	47	122	45498	45	32283	13	13	12	1	13	28118	71089	234	3959	1	
0,45,	94	72	44	118	45423	45	31922	12	12	11	1	13	27806	70197	226	3910	1	
0,46,	94	69	44	115	45386	45	31081	12	12	11	1	13	26965	69697	220	3910	1	
0,47,	93	70	44	116	45246	44	33426	12	12	11	1	13	29310	70825	222	3910	1	
0,48,	94	68	44	114	45653	45	31081	12	12	11	1	12	26965	67491	218	3910	1	
0,49,	94	68	44	114	45653	45	31081	12	12	11	1	12	26965	67491	218	3910	1	
0,50,	93	78	44	124	45423	44	33311	12	12	11	1	13	29195	71582	238	3910	1	
0,51,	94	68	44	114	45653	45	31081	12	12	11	1	12	26965	67491	218	3910	1	
0,52,	94	84	44	130	45271	44	35292	12	12	11	1	18	31176	82766	250	3910	1	
0,53,	94	81	44	127	45636	44	36558	12	12	11	1	13	32442	74299	244	3910	1	
0,54,	94	69	44	115	45590	45	31081	12	12	11	1	13	26965	69922	220	3910	1	
0,55,	95	69	36	105	46409	46	29833	9	9	9	1	12	27383	59906	204	2450	1	
0,56,	92	85	52	139	44324	45	39348	14	14	13	1	16	34836	84206	266	4306	1	
0,57,	94	72	44	118	45527	45	31572	12	12	11	1	14	27456	71339	226	3910	1	
0,58,	94	69	41	112	45844	45	30870	11	11	10	1	12	27252	64508	214	3412	1	
0,59,	93	69	44	115	45187	45	31081	12	12	11	1	13	26965	69010	220	3910	1	
0,60,	94	71	44	117	45575	45	32115	12	12	11	1	13	27999	68802	224	3910	1	
0,61,	93	71	44	117	45283	45	31286	12	12	11	1	13	27170	69205	224	3910	1	
0,62,	94	76	33	111	45354	45	30587	11	11	10	1	14	27408	69382	214	2973	1	
0,63,	93	70	44	116	44723	45	31572	12	12	11	1	14	27456	70991	222	3910	1	
0,64,	94	73	47	122	45326	45	32685	13	13	12	1	15	28345	76240	234	4134	1	
0,65,	94	69	44	115	45544	42	31841	12	12	11	1	13	27725	70793	220	3910	1	
0,66,	94	68	44	114	45653	45	31081	12	12	11	1	12	26965	67491	218	3910	1	
0,67,	94	68	44	114	45653	45	31081	12	12	11	1	12	26965	67491	218	3910	1	
0,68,	92	111	103	221	40626	36	53144	34	28	31	2	23	40240	172220	404	12466	0	
0,69,	94	68	44	114	45545	42	31081	12	12	11	1	13	26965	71186	220	3910	1	
0,70,	94	71	48	121	45117	40	32394	14	12	13	2	15	28052	86523	234	4136	1	
0,71,	94	69	44	115	45568	45	31169	12	12	11	1	13	27053	69849	222	3910	1	
0,72,	94	73	48	125	45121	42	33084	14	14	12	1	16	28493	82075	242	4264	1	
0,73,	94	71	44	117	45554	42	31435	12	12	11	1	13	27319	71011	226	3910	1	
0,74,	94	68	44	114	45578	45	31081	12	12	11	1	13	26965	69608	220	3910	1	
0,75,	94	75	44	121	45278	44	35083	12	12	11	1	17	30967	79619	234	3910	1	
0,76,	94	69	44	115	45602	45	31081	12	12	11	1	13	26965	70254	222	3910	1	
0,77,	94	68	44	114	45531	45	31081	12	12	11	1	13	26965	69016	220	3910	1	
0,78,	93	68	44	114	45187	45	31081	12	12	11	1	13	26965	69010	220	3910	1	
0,79,	94	69	44	115	45544	42	31152	12	12	11	1	13	27036	71310	222	3910	1	
0,80,	94	70	44	116	45531	45	31617	12	12	11	1	13	27501	69828	224	3910	1	
0,81,	94	69	44	115	45602	45	31081	12	12	11	1	13	26965	70254	222	3910	1	
0,82,	94	69	44	115	45474	45	31081	12	12	11	1	13	26965	69639	222	3910	1	
0,83,	94	70	41	113	45653	45	31081	11	11	10	1	13	27305	67491	218	3570	1	
0,84,	94	77	44	123	45287	44	33351	12	12	11	1	15	29235	75190	236	3910	1	
0,85,	94	71	37	110	45774	45	30741	10	10	9	1	13	27222	65986	214	3313	1	
0,86,	94	69	44	115	45565	44	31254	12	12	11	1	13	27138	70665	222	3910	1	
0,87,	94	72	44	118	45308	45	32508	12	12	11	1	15	28392	73405	228	3910	1	
0,88,	94	68	44	114	45452	45	31081	12	12	11	1	13	26965	69719	220	3910	1	
0,89,	94	68	44	114	45544	42	31081	12	12	11	1	13	26965	70793	220	3910	1	
0,90,	91	95	47	142	45220	44	36035	12	12	12	1	14	31771	74410	278	4264	1	
0,91,	94	68	44	114	45590	45	31081	12	12	11	1	13	26965	69922	220	3910	1	
0,92,	94	70	44	116	45445	44	31301	12	12	11	1	13	27185	70173	224	3910	1	
0,93,	93	77	47	126	44880	44	33330	13	13	12	1	14	28955	73452	242	4169	1	
0,94,	94	68	44	114	45457	45	31081	12	12	11	1	13	26965	69669	220	3910	1	
0,95,	94	68	44	114	45531	45	31081	12	12	11	1	13	26965	69016	220	3910	1	
0,96,	94	68	44	114	45545	42	31081	12	12	11	1	13	26965	71186	220	3910	1	
0,97,	93	68	44	114	45187	45	31081	12	12	11	1	13	26965	69010	220	3910	1	
0,98,	94	69	44	115	45532	45	31134	12	12	11	1	13	27018	69247	222	3910	1	
0,99,	94	69	44	115	45548	45	31157	12	12	11	1	13	27041	69214	222	3910	1	
1,2,	93	165	122	304	28523	36	86182	50	47	42	2	42	75388	210904	566	10119	0	
1,3,	95	114	99	238	30901	41	65136	42	37	32	2	25	53123	159822	428	9917	0	
1,4,	93	129	118	274	28943	37	70208	49	44	38	2	34	56626	188900	490	11485	0	
1,5,	92	181	170	379	27248	34	104770	65	64	53	2	47	88021	247584	694	15409	0	
1,6,	94	139	101	265	30585	41	73722	43	38	33	2	29	61659	170120	480	9967	0	
1,7,	93	138	128	288	30047	37	83431	50	45	41	2	29	67980	188823	524	13546	0	
1,8,	92	164	214	406	26061	33	113327	84	80	73	2	37	84519	259127	750	26667	0	
1,9,	93	185	166	385	27597	33	107633	64	62	51	2	47	86950	254610	706	17770	0	
1,10,	91	153	145	328	30075	37	89769	56	49	44	2	28	73419	201643	584	13629	0	
1,11,	95	107	120	252	29176	37	68489	45	40	35	2	30	52152	188409	454	14241	0	
1,12,	94	111	164	302	28960	36	77767	52	45	41	2	27	52805	184461	542	22362	0	
1,13,	94	114	101	240	30919	41	66162	43	38	33	2	25	54057	161509	432	10009	0	
1,14,	94	100	99	224	31006	42	60772	42	37	32	2	25	48759	155473	400	9917	0	
1,15,	94	114	105	244	30236	41	65167	45	40	35	2	26	52898	164487	440	10173	0	
1,16,	95	99	99	223	31006	42	60772	42	37	32	2	25	48759	155473	400	9917	0	
1,17,	95	112	106	245	30572	41	66503	45	40	34	2	28	54071	172667	444	10137	0	
1,18,	93	104	110	239	30808	42	63273	44	39	34	2	27	50006	164335	426	11171	0	
1,19,	95	101	95	221	31067	42	60772	41	36	31	2	25	48812	153840	396	9864	0	
1,20,	95	99	97	221	31067	42	60772	41	36	31	2	25	48822	153840	396	9854	0	
1,21,	95	100	99	224	31017	42	61532	42	37	32	2	25	49519	155998	402	9917	0	
1,22,	95	99	101	225	30933	42	61005	43	38	33	2	25	48942	156976	404	9967	0	
1,23,	95	108	102	235	30404	42	63388	44	43	34	2	28	49923	166549	420	11369	0	
1,24,	94	110	104	239	30500	40	64442	44	39	34	2	27	51988	168269	430	10358	0	
1,25,	95	100	96	221	31067	42	60772	41	37	31	2	25	48824	153840	396	9852	0	
1,26,	94	118	101	242	30271	41	64901	42	37	33	2	29	53044	164720	436	9967	0	
1,27,	95	99	99	223	30992	42	60823	42	37	32	2	25	48810	155411	400	9917	0	
1,28,	94	104	99	228	31008	42	61394	42	37	32	2	25	49381	156511	408	9917	0	
1,29,	94	110	99	234	30875	42	62130	42	37	32	2	25	50117	154625	420	9917	0	
1,30,	94	104	101	230	30882	42	61474	43	38	33	2	26	49207	159451	412	10171	0	
1,31,	94	103	99	227	30806	42	60997	42	37	32	2	25	48984	155563	406	9917	0	
1,32,	94	109	101	235	30831	42	62216	43	38	33	2	25	50196	158414	422	9924	0	
1,33,	95	103	99	227	31024	42	61059	42	37	32	2	25	49046	156134	408	9917	0	
1,34,	95	109	99	233	31047	41	62288	42	37	32	2	26	50268	160252	422	9924	0	
1,35,	95	99	99	223	31003	42	61161	42	37	32	2	25	49148	155125	400	9917	0	
1,36,	94	110	97	232	30791	42	62587	41	36	31	2	27	50851	158027	418	9640	0	
1,37,	94	114	153	292	28556	38	81005	55	47	45	2	29	61404	193815	532	17526	0	
1,38,	95	99	99	223	30992	42	60924	42	37	32	2	25	48911	155478	400	9917	0	
1,39,	95	99	99	223	31005	42	61064	42	37	32	2	25	49051	155468	400	9917	0	
1,40,	94	107	99	231	30983	42	61498	42	37	32	2	26	49485	158033	414	9917	0	
1,41,	94	105	110	240	30786	40	64510	45	39	35	2	26	51199	164232	430	11215	0	
1,42,	93	108	141	274	29757	40	68356	49	43	39	2	26	50601	173152	492	15659	0	
1,43,	94	115	111	251	30761	40	69085	45	40	35	2	28	55872	175617	452	11117	0	
1,44,	95	103	102	230	30935	41	61974	43	38	33	2	25	49912	157466	414	9966	0	
1,45,	95	102	96	223	30981	42	60611	42	37	32	2	25	49600	155902	404	8915	0	
1,46,	95	99	99	223	30995	42	60772	42	37	32	2	25	48759	155437	400	9917	0	
1,47,	94	100	99	224	31009	42	63117	42	37	32	2	25	51104	155837	400	9917	0	
1,48,	95	98	99	222	30992	42	60772	42	37	32	2	25	48759	155284	398	9917	0	
1,49,	95	98	99	222	30992	42	60772	42	37	32	2	25	48759	155284	398	9917	0	
1,50,	94	108	99	232	30872	42	63002	42	37	32	2	25	50989	157517	416	9917	0	
1,51,	95	98	99	222	30992	42	60772	42	37	32	2	25	48759	155284	398	9917	0	
1,52,	95	114	99	238	31061	41	64983	42	37	32	2	29	52970	165424	430	9917	0	
1,53,	95	111	99	235	31084	41	66249	42	37	32	2	25	54236	160000	424	9917	0	
1,54,	95	99	99	223	30992	42	60772	42	37	32	2	25	48759	155480	400	9917	0	
1,55,	95	99	97	221	31067	42	60772	41	36	31	2	25	49177	153840	396	9499	0	
1,56,	94	115	104	244	30315	41	68874	43	38	33	2	28	56630	167642	440	10148	0	
1,57,	95	102	99	226	30527	42	61263	42	37	32	2	26	49250	157731	406	9917	0	
1,58,	95	99	99	223	30992	42	61059	42	37	32	2	25	49046	155556	400	9917	0	
1,59,	94	99	99	223	30992	42	60772	42	37	32	2	25	48759	155284	398	9917	0	
1,60,	95	101	99	225	31082	42	61806	42	37	32	2	25	49793	155885	404	9917	0	
1,61,	94	101	99	225	30984	42	60977	42	37	32	2	25	48964	155567	402	9917	0	
1,62,	94	106	99	230	31031	42	61215	42	37	32	2	25	49202	155996	412	9917	0	
1,63,	94	100	99	224	30917	42	61263	42	37	32	2	26	49250	157143	400	9917	0	
1,64,	95	103	104	232	30192	42	62426	44	39	34	2	27	50139	163885	418	10191	0	
1,65,	95	99	99	223	31009	42	61532	42	37	32	2	25	49519	155837	400	9917	0	
1,66,	95	98	99	222	30992	42	60772	42	37	32	2	25	48759	155284	398	9917	0	
1,67,	95	98	99	222	30992	42	60772	42	37	32	2	25	48759	155284	398	9917	0	
1,68,	94	141	157	323	28948	31	81179	60	55	50	2	35	62034	239282	580	16967	0	
1,69,	95	98	99	222	31021	41	60772	42	37	32	2	25	48759	157070	398	9917	0	
1,70,	95	101	99	225	30940	41	61859	42	37	32	2	27	49846	163030	404	9917	0	
1,71,	95	99	99	223	31024	42	60860	42	37	32	2	25	48847	155942	400	9917	0	
1,72,	95	103	103	233	30541	41	62775	44	39	33	2	28	50287	166920	420	10271	0	
1,73,	95	101	99	225	31061	41	61126	42	37	32	2	25	49113	156831	404	9917	0	
1,74,	95	98	99	222	31002	42	60772	42	37	32	2	25	48759	155669	398	9917	0	
1,75,	95	105	97	223	31354	42	63306	40	36	31	2	28	52761	158251	404	9695	0	
1,76,	95	99	99	223	30901	42	60772	42	37	32	2	25	48759	156133	400	9917	0	
1,77,	95	98	99	222	30994	42	60772	42	37	32	2	25	48759	155196	398	9917	0	
1,78,	94	98	99	222	31067	42	60772	42	37	32	2	24	48759	153840	396	9917	0	
1,79,	95	99	99	223	31021	41	60843	42	37	32	2	25	48830	157184	400	9917	0	
1,80,	95	100	99	224	30999	42	61308	42	37	32	2	25	49295	155942	402	9917	0	
1,81,	95	99	99	223	30901	42	60772	42	37	32	2	25	48759	156133	400	9917	0	
1,82,	95	99	99	223	30937	42	60772	42	37	32	2	25	48759	155847	400	9917	0	
1,83,	95	100	99	224	30996	42	61112	42	37	32	2	25	49099	155493	402	9917	0	
1,84,	95	107	108	240	30682	41	64028	45	40	35	2	27	51029	166343	428	10903	0	
1,85,	95	101	99	225	31043	42	61029	42	37	32	2	25	49016	156774	404	9917	0	
1,86,	95	99	99	223	31001	42	60945	42	37	32	2	25	48932	156569	400	9917	0	
1,87,	95	102	99	226	30824	42	62199	42	37	32	2	27	50186	158988	406	9917	0	
1,88,	95	98	99	222	30900	42	60772	42	37	32	2	25	48759	155935	398	9917	0	
1,89,	95	98	99	222	31019	41	60772	42	37	32	2	25	48759	156719	398	9917	0	
1,90,	94	125	96	246	30695	40	65658	41	36	31	2	25	53565	159007	444	9997	0	
1,91,	95	98	99	222	31008	42	60772	42	37	32	2	25	48759	155995	398	9917	0	
1,92,	95	100	99	224	30903	42	60992	42	37	32	2	25	48979	156411	402	9917	0	
1,93,	94	107	102	234	30332	41	63021	43	38	33	2	26	50749	159774	418	10176	0	
1,94,	95	98	99	222	30913	42	60772	42	37	32	2	25	48759	155892	398	9917	0	
1,95,	95	98	99	222	30994	42	60772	42	37	32	2	25	48759	155196	398	9917	0	
1,96,	95	98	99	222	31021	41	60772	42	37	32	2	25	48759	157070	398	9917	0	
1,97,	94	98	99	222	31067	42	60772	42	37	32	2	24	48759	153840	396	9917	0	
1,98,	95	99	99	223	30995	42	60825	42	37	32	2	25	48812	155363	400	9917	0	
1,99,	95	99	99	223	30985	42	60848	42	37	32	2	25	48835	155422	400	9917	0	
2,3,	95	85	19	106	45222	43	32001	9	9	8	1	18	30993	73954	210	1002	1	
2,4,	93	100	36	140	42377	42	37023	15	15	13	1	27	34496	103305	272	2520	0	
2,5,	88	152	102	272	38519	38	75058	39	39	31	1	35	65891	177595	514	8457	0	
2,6,	94	110	19	131	44698	43	40537	9	9	8	1	21	39529	82330	258	1002	1	
2,7,	94	109	31	142	44243	42	49031	13	13	12	1	21	45850	100208	282	3175	0	
2,8,	90	135	140	287	39169	33	84867	57	54	52	2	30	62389	198394	554	22234	0	
2,9,	91	156	77	240	40736	38	69961	30	30	27	1	40	64820	159567	450	5051	0	
2,10,	93	124	61	196	43877	42	56116	25	25	20	1	20	51289	119667	372	4114	0	
2,11,	95	78	40	120	44378	41	35354	12	12	11	1	23	30022	107889	234	5326	0	
2,12,	94	82	27	111	45288	43	32515	12	10	11	2	19	30675	73245	216	1834	1	
2,13,	94	85	19	106	45093	43	32935	9	9	8	1	18	31927	73356	208	1002	1	
2,14,	94	71	19	92	44856	44	27637	9	9	8	1	18	26629	69042	180	1002	1	
2,15,	94	85	21	108	44819	43	31975	10	10	9	1	20	30768	77371	214	1201	1	
2,16,	95	70	19	91	45151	44	27637	9	9	8	1	18	26629	69006	178	1002	1	
2,17,	95	83	24	109	44881	43	33132	10	10	9	1	20	31941	84577	216	1185	1	
2,18,	94	75	23	100	44027	44	29516	10	10	9	1	20	27876	76186	196	1634	1	
2,19,	94	72	19	93	44891	44	27690	9	9	8	1	18	26682	69511	184	1002	1	
2,20,	95	70	19	91	45155	44	27700	9	9	8	1	18	26692	69269	180	1002	1	
2,21,	95	71	19	92	45169	44	28397	9	9	8	1	18	27389	69765	182	1002	1	
2,22,	95	70	19	91	45169	44	27820	9	9	8	1	18	26812	69117	180	1002	1	
2,23,	95	79	19	100	45382	45	28801	9	9	8	1	18	27793	70563	198	1002	1	
2,24,	94	81	22	105	43866	43	31257	10	10	9	1	20	29858	81295	206	1393	1	
2,25,	95	71	19	92	45184	44	27702	9	9	8	1	18	26694	69255	182	1002	1	
2,26,	94	89	19	110	44223	43	31922	9	9	8	1	22	30914	79083	216	1002	1	
2,27,	95	70	19	91	45151	44	27688	9	9	8	1	18	26680	69141	180	1002	1	
2,28,	94	75	19	96	44885	44	28259	9	9	8	1	18	27251	69852	188	1002	1	
2,29,	94	81	19	102	45030	44	28995	9	9	8	1	18	27987	67845	200	1002	1	
2,30,	94	75	21	98	44591	44	28339	10	10	9	1	19	27077	73476	194	1256	1	
2,31,	94	74	19	95	45004	44	27862	9	9	8	1	18	26854	69264	188	1002	1	
2,32,	94	80	21	103	44947	44	29081	10	10	9	1	18	28066	72105	202	1009	1	
2,33,	95	74	19	95	45192	44	27924	9	9	8	1	18	26916	69741	186	1002	1	
2,34,	95	80	21	103	45081	43	29186	10	10	9	1	20	28138	79288	204	1042	1	
2,35,	95	70	19	91	45172	44	28026	9	9	8	1	18	27018	68889	180	1002	1	
2,36,	93	81	25	108	43553	44	31098	11	11	10	1	20	28721	77715	206	2371	1	
2,37,	94	85	56	145	44196	42	44071	21	20	19	2	21	39274	103253	284	4773	0	
2,38,	95	70	19	91	45151	44	27789	9	9	8	1	18	26781	69203	180	1002	1	
2,39,	95	70	19	91	45186	44	27929	9	9	8	1	18	26921	69343	180	1002	1	
2,40,	94	78	19	99	44758	44	28363	9	9	8	1	19	27355	71792	194	1002	1	
2,41,	94	76	25	103	44676	41	30534	11	11	10	1	19	29069	77449	204	1459	1	
2,42,	94	79	50	131	44406	43	33757	14	11	13	2	18	28471	78986	254	5280	0	
2,43,	93	86	27	115	43831	43	36011	11	11	10	1	21	33742	89005	226	2263	0	
2,44,	95	74	22	98	45179	43	28839	10	10	9	1	18	27782	71468	194	1051	1	
2,45,	95	73	19	94	45200	44	28478	9	9	8	1	18	27470	69674	186	1002	1	
2,46,	95	70	19	91	45155	44	27637	9	9	8	1	18	26629	69176	180	1002	1	
2,47,	94	71	19	92	44911	43	29982	9	9	8	1	18	28974	71196	182	1002	1	
2,48,	95	69	19	90	45151	44	27637	9	9	8	1	18	26629	69006	178	1002	1	
2,49,	95	69	19	90	45151	44	27637	9	9	8	1	18	26629	69006	178	1002	1	
2,50,	94	79	19	100	45028	44	29867	9	9	8	1	18	28859	71099	196	1002	1	
2,51,	95	69	19	90	45151	44	27637	9	9	8	1	18	26629	69006	178	1002	1	
2,52,	95	85	19	106	44985	43	31848	9	9	8	1	22	30840	80860	210	1002	1	
2,53,	95	82	19	103	45251	43	33114	9	9	8	1	18	32106	74463	204	1002	1	
2,54,	95	70	19	91	45151	44	27637	9	9	8	1	18	26629	69212	180	1002	1	
2,55,	95	70	19	91	45195	44	28055	9	9	8	1	18	27047	68864	180	1002	1	
2,56,	93	86	27	115	43916	43	35904	11	11	10	1	21	34500	83936	224	1398	0	
2,57,	95	73	19	94	45126	44	28128	9	9	8	1	19	27120	71510	184	1002	1	
2,58,	95	70	19	91	45151	44	27924	9	9	8	1	18	26916	69297	180	1002	1	
2,59,	94	70	19	91	44856	44	27637	9	9	8	1	18	26629	69042	180	1002	1	
2,60,	95	72	19	93	45233	44	28671	9	9	8	1	18	27663	69650	184	1002	1	
2,61,	94	72	19	93	44916	44	27842	9	9	8	1	18	26834	69369	184	1002	1	
2,62,	94	77	19	98	44989	44	28080	9	9	8	1	18	27072	69564	192	1002	1	
2,63,	94	71	19	92	44452	44	28128	9	9	8	1	19	27120	71158	182	1002	1	
2,64,	95	74	22	98	44918	44	29241	10	10	9	1	20	28009	76417	192	1226	1	
2,65,	95	70	19	91	45156	44	28397	9	9	8	1	18	27389	69622	180	1002	1	
2,66,	95	69	19	90	45151	44	27637	9	9	8	1	18	26629	69006	178	1002	1	
2,67,	95	69	19	90	45151	44	27637	9	9	8	1	18	26629	69006	178	1002	1	
2,68,	94	112	72	188	41929	34	47856	26	26	24	1	28	39904	162780	358	7825	0	
2,69,	95	69	19	90	45158	44	27637	9	9	8	1	18	26629	71038	178	1002	1	
2,70,	95	72	19	93	44954	41	28724	9	9	8	1	20	27716	77814	184	1002	1	
2,71,	95	70	19	91	45178	44	27725	9	9	8	1	18	26717	69749	180	1002	1	
2,72,	95	74	23	101	44732	44	29640	11	11	9	1	21	28157	81997	200	1356	0	
2,73,	95	72	19	93	45167	44	27991	9	9	8	1	18	26983	70859	184	1002	1	
2,74,	95	69	19	90	45151	44	27637	9	9	8	1	18	26629	69594	178	1002	1	
2,75,	95	76	19	97	44707	43	31639	9	9	8	1	22	30631	78888	190	1002	1	
2,76,	95	70	19	91	45219	44	27637	9	9	8	1	18	26629	70125	180	1002	1	
2,77,	95	69	19	90	45142	44	27637	9	9	8	1	18	26629	68902	178	1002	1	
2,78,	94	69	19	90	44798	44	27637	9	9	8	1	18	26629	68910	178	1002	1	
2,79,	95	70	19	91	45157	44	27708	9	9	8	1	18	26700	71119	180	1002	1	
2,80,	95	71	19	92	45142	44	28173	9	9	8	1	18	27165	69651	182	1002	1	
2,81,	95	70	19	91	45219	44	27637	9	9	8	1	18	26629	70125	180	1002	1	
2,82,	95	70	19	91	45082	44	27637	9	9	8	1	18	26629	69575	180	1002	1	
2,83,	95	71	19	92	45143	44	27977	9	9	8	1	18	26969	69235	182	1002	1	
2,84,	95	78	28	108	44591	43	30893	12	12	11	1	20	28899	81492	208	1988	0	
2,85,	95	72	19	93	45183	44	27894	9	9	8	1	18	26886	70791	184	1002	1	
2,86,	95	70	19	91	45177	44	27810	9	9	8	1	18	26802	70534	180	1002	1	
2,87,	95	73	19	94	44928	44	29064	9	9	8	1	20	28056	73263	186	1002	1	
2,88,	95	69	19	90	45061	44	27637	9	9	8	1	18	26629	69637	178	1002	1	
2,89,	95	69	19	90	45157	44	27637	9	9	8	1	18	26629	70642	178	1002	1	
2,90,	92	96	24	122	44456	42	32810	11	11	10	1	19	31435	79518	242	1369	1	
2,91,	95	69	19	90	45208	44	27637	9	9	8	1	18	26629	69896	178	1002	1	
2,92,	95	71	19	92	45052	43	27857	9	9	8	1	18	26849	70126	182	1002	1	
2,93,	94	78	22	102	44497	43	29886	10	10	9	1	19	28619	73305	200	1261	1	
2,94,	95	69	19	90	45063	44	27637	9	9	8	1	18	26629	69617	178	1002	1	
2,95,	95	69	19	90	45142	44	27637	9	9	8	1	18	26629	68902	178	1002	1	
2,96,	95	69	19	90	45158	44	27637	9	9	8	1	18	26629	71038	178	1002	1	
2,97,	94	69	19	90	44798	44	27637	9	9	8	1	18	26629	68910	178	1002	1	
2,98,	95	70	19	91	45143	44	27690	9	9	8	1	18	26682	69150	180	1002	1	
2,99,	95	70	19	91	45157	44	27713	9	9	8	1	18	26705	69142	180	1002	1	
3,4,	95	49	17	68	45555	44	13750	6	6	5	1	10	12231	46945	128	1518	1	
3,5,	90	101	98	220	41764	42	53536	35	35	26	1	18	43626	131690	404	8973	0	
3,6,	96	59	0	59	48132	47	17264	0	0	0	0	4	17264	22403	116	0	2	
3,7,	96	58	8	66	47959	45	25606	2	2	2	1	4	23585	38149	130	2021	1	
3,8,	94	84	88	178	44026	40	51649	35	33	33	2	12	40124	112972	342	11369	0	
3,9,	93	105	53	166	44706	42	46132	21	21	18	1	17	42555	95529	312	3468	0	
3,10,	95	73	32	110	47971	45	32585	10	10	8	1	3	29024	51392	208	2936	1	
3,11,	97	27	21	48	47790	43	12081	3	3	3	1	6	7757	50117	90	4324	1	
3,12,	96	31	8	39	48894	47	9242	3	1	3	2	2	8410	13089	76	832	2	
3,13,	96	34	0	34	48545	46	9662	0	0	0	0	1	9662	13454	68	0	2	
3,14,	96	20	0	20	48324	47	4364	0	0	0	0	1	4364	8560	40	0	2	
3,15,	96	34	2	36	48406	46	8702	1	1	1	1	2	8503	15342	72	199	2	
3,16,	97	19	0	19	48624	47	4364	0	0	0	0	1	4364	8558	38	0	2	
3,17,	97	32	7	41	48160	45	10095	3	3	2	1	4	9676	30126	82	220	2	
