index	max_degree	fail_node_degree	fail_neber_degree	fail_degree_sum	max_load	big_load_num	fail_load_sum	fail_num	first_round_fail	neber_fail_num	fail_round	subgraph_num	fail_node_load	load_change	load_change	degree_change	fail_neber_load	LCC
66,	49	9	5	14	26922	38	2029	2	2	2	1	2	1634	10223	28	395	396
67,	49	4	3	7	26888	38	1547	1	1	1	1	2	1259	5818	14	288	397
68,	49	2	0	2	26933	38	0	0	0	0	0	1	0	1530	4	0	399
69,	49	5	0	5	27033	39	491	0	0	0	0	1	491	2291	10	0	399
70,	49	3	0	5	26964	39	366	1	1	0	1	1	306	3641	10	0	398
71,	49	8	3	11	27015	37	2499	1	1	1	1	2	2257	6499	22	242	397
72,	49	4	0	4	27042	38	547	0	0	0	0	1	547	2590	8	0	399
73,	49	5	0	5	27145	40	1042	0	0	0	0	1	1042	1112	10	0	399
74,	49	2	0	2	26903	39	282	0	0	0	0	1	282	1752	4	0	399
75,	49	3	0	3	26980	39	326	0	0	0	0	1	326	2320	6	0	399
76,	49	2	0	2	26895	39	0	0	0	0	0	1	0	1387	4	0	399
77,	49	3	0	3	26832	38	222	0	0	0	0	1	222	2242	6	0	399
78,	49	3	0	3	27023	40	555	0	0	0	0	1	555	1348	6	0	399
79,	49	9	3	12	26818	37	1994	1	1	1	1	2	1733	7885	24	261	397
80,	49	2	0	2	26917	38	181	0	0	0	0	1	181	1667	4	0	399
81,	49	7	0	7	26977	39	1181	0	0	0	0	1	1181	2663	14	0	399
82,	49	5	0	7	27050	40	1160	1	1	0	1	1	1122	3580	14	0	398
83,	49	6	0	6	27082	38	1249	0	0	0	0	1	1249	2107	12	0	399
84,	48	2	0	2	26929	39	0	0	0	0	0	1	0	1446	4	0	399
85,	48	3	0	3	27087	40	323	0	0	0	0	1	323	1603	6	0	399
86,	49	3	0	3	26981	39	328	0	0	0	0	1	328	2567	6	0	399
87,	49	3	0	3	27017	39	287	0	0	0	0	1	287	1930	6	0	399
88,	49	3	0	3	26821	39	250	0	0	0	0	1	250	2276	6	0	399
89,	49	4	0	4	26972	39	602	0	0	0	0	1	602	2800	8	0	399
90,	49	5	0	5	26924	39	489	0	0	0	0	1	489	2450	10	0	399
91,	49	3	0	3	26941	39	613	0	0	0	0	1	613	2105	6	0	399
92,	49	4	0	4	26976	40	555	0	0	0	0	1	555	2504	8	0	399
93,	49	5	2	11	26808	39	1607	2	2	1	1	2	1060	7736	20	224	396
94,	49	6	0	6	27046	39	1282	0	0	0	0	1	1282	2836	12	0	399
95,	49	3	0	3	26969	39	441	0	0	0	0	1	441	1742	6	0	399
96,	49	6	3	9	26893	38	1771	1	1	1	1	1	1685	4521	18	86	398
97,	49	4	0	4	27032	39	1300	0	0	0	0	1	1300	2097	8	0	399
98,	49	4	0	4	26949	38	239	0	0	0	0	1	239	2555	8	0	399
99,	49	2	0	2	26970	39	102	0	0	0	0	1	102	3368	4	0	399
100,	49	6	0	6	27013	38	2005	0	0	0	0	1	2005	3417	12	0	399
101,	49	3	0	3	27003	38	332	0	0	0	0	1	332	2673	6	0	399
102,	49	3	0	3	26913	39	392	0	0	0	0	1	392	1921	6	0	399
103,	49	3	0	3	26952	39	133	0	0	0	0	1	133	2325	6	0	399
104,	49	3	0	3	26960	39	95	0	0	0	0	1	95	2264	6	0	399
105,	49	2	0	2	26981	39	177	0	0	0	0	1	177	2206	4	0	399
106,	49	4	0	4	26983	38	481	0	0	0	0	1	481	2786	8	0	399
107,	49	3	0	3	26853	39	209	0	0	0	0	1	209	2081	6	0	399
108,	49	4	0	4	27006	38	530	0	0	0	0	1	530	2724	8	0	399
109,	49	6	0	6	27018	40	606	0	0	0	0	1	606	2809	12	0	399
110,	49	4	0	4	26979	39	753	0	0	0	0	1	753	2013	8	0	399
111,	49	2	0	2	26967	39	199	0	0	0	0	1	199	1522	4	0	399
112,	49	2	0	2	26947	39	0	0	0	0	0	1	0	1409	4	0	399
113,	49	5	0	5	26880	38	545	0	0	0	0	1	545	2903	10	0	399
114,	49	3	0	3	27039	39	378	0	0	0	0	1	378	1536	6	0	399
115,	49	6	0	6	27011	39	835	0	0	0	0	1	835	2511	12	0	399
116,	49	4	0	4	27110	39	1178	0	0	0	0	1	1178	1737	8	0	399
117,	49	4	0	4	27157	39	738	0	0	0	0	1	738	2288	8	0	399
118,	49	2	0	2	26799	39	78	0	0	0	0	1	78	1995	4	0	399
119,	49	2	0	2	26974	38	41	0	0	0	0	1	41	1913	4	0	399
120,	49	3	0	3	27001	38	428	0	0	0	0	1	428	2142	6	0	399
121,	49	3	0	3	26991	39	343	0	0	0	0	1	343	2425	6	0	399
122,	49	3	0	3	26905	38	649	0	0	0	0	1	649	1206	6	0	399
123,	49	4	2	6	26938	39	977	1	1	1	1	1	884	3486	12	93	398
124,	49	2	0	2	26900	39	351	0	0	0	0	1	351	1821	4	0	399
125,	49	7	0	7	26940	39	1064	0	0	0	0	1	1064	3986	14	0	399
126,	49	3	0	3	26933	39	374	0	0	0	0	1	374	1960	6	0	399
127,	49	4	0	4	26977	37	355	0	0	0	0	1	355	3153	8	0	399
128,	49	6	3	9	26949	39	1408	1	1	1	1	2	1190	6855	18	218	397
129,	49	3	0	3	26948	39	241	0	0	0	0	1	241	2667	6	0	399
130,	49	5	0	5	27057	37	818	0	0	0	0	1	818	3330	10	0	399
131,	49	3	4	7	26759	36	923	1	1	1	1	2	568	6793	14	355	397
132,	49	3	0	3	26970	39	282	0	0	0	0	1	282	2681	6	0	399
133,	49	9	0	9	27205	40	1620	0	0	0	0	1	1620	4310	18	0	399
134,	49	4	0	4	26960	39	239	0	0	0	0	1	239	2952	8	0	399
135,	49	2	0	2	26942	39	519	0	0	0	0	1	519	1971	4	0	399
136,	49	2	0	2	26945	39	565	0	0	0	0	1	565	1864	4	0	399
137,	49	3	0	3	26995	39	296	0	0	0	0	1	296	1942	6	0	399
138,	49	2	0	2	26937	39	50	0	0	0	0	1	50	2205	4	0	399
139,	49	2	0	2	26916	39	87	0	0	0	0	1	87	1636	4	0	399
140,	49	3	0	3	26920	39	411	0	0	0	0	1	411	1989	6	0	399
141,	49	4	0	4	27074	39	807	0	0	0	0	1	807	2067	8	0	399
142,	49	3	0	3	26971	37	220	0	0	0	0	1	220	2423	6	0	399
143,	49	2	0	2	26956	39	51	0	0	0	0	1	51	2313	4	0	399
144,	49	2	0	2	26945	38	105	0	0	0	0	1	105	2237	4	0	399
145,	49	5	0	5	26982	38	505	0	0	0	0	1	505	3186	10	0	399
146,	49	2	0	2	26934	39	332	0	0	0	0	1	332	1757	4	0	399
147,	49	2	0	2	26895	39	0	0	0	0	0	1	0	1387	4	0	399
148,	49	3	0	3	26907	39	579	0	0	0	0	1	579	2100	6	0	399
149,	49	8	0	8	27007	40	1278	0	0	0	0	1	1278	3410	16	0	399
150,	49	2	0	2	26975	38	46	0	0	0	0	1	46	2776	4	0	399
151,	49	2	0	2	26786	38	150	0	0	0	0	1	150	2048	4	0	399
152,	49	3	0	3	26997	39	440	0	0	0	0	1	440	2166	6	0	399
153,	49	2	0	2	26923	39	117	0	0	0	0	1	117	1550	4	0	399
154,	49	2	0	2	26962	38	46	0	0	0	0	1	46	2112	4	0	399
